研究構面/關鍵字,文章年份,文章題名,作者,期刊名稱,索引/等級,引用數,DOI,全文狀態,合法全文來源URL,本機檔名,備註
,2021,"Emojis influence emotional communication, social attributions, and information processing",Isabelle Boutet; Megan LeBlanc; Justin A. Chamberland; Charles A. Collin,Computers in Human Behavior,,,10.1016/j.chb.2021.106722,待取得,,,
,2020,Array programming with NumPy,Charles R. Harris; K. Jarrod Millman; Stéfan J. van der Walt; Ralf Gommers; Pauli Virtanen; David Cournapeau; Eric Wieser; Julian Taylor,Nature,,,10.1038/s41586-020-2649-2,已下載,https://www.nature.com/articles/s41586-020-2649-2.pdf,2020_Array programming with NumPy.pdf,OpenAlex
